,Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Term ID,English term,Description,Sanskrit (IAST),Sanskrit
0,2,2,dis,vikarah,vikāraḥ,विकारः,,,,ITA-5.1.1,Disorder,"A disorder refers to a set of dysfunctions in any body system
which is evaluated from associated signs, symptoms or
findings. Each disorder may be defined by its symptomology,
etiological explanation, course and outcome, treatment
response or linkage to interacting environmental factors.",vikāraḥ,वर््कािः
1,6,6,sr11 (aaa-1),vatasa~jcayah,vātasañcayaḥ,वातसञ्चयः,,"it is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. this may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.",,ITA-5.2.1.1,Accumulation of vata,"A disorder characterized by impaired movements of vata in
the gastrointestinal tract, reduced gastrointestinal motility;
stagnated bowel movements; abdominal fullness.",vātasañcayaḥ,र्ातसञ्यः
2,15,15,sr14 (aaa-4),vatakshayah,vātakṣayaḥ,वातक्षयः,,"it is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. this may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",,ITA-5.2.1.9,Diminution of vata,"A disorder characterized by some or all the following signs
and symptoms: sluggishness of body; reduced talking;
displeasure or discontent; loss of consciousness; exhaustion;
tiredness or inability to perform physical activities; reduced
activities; loss of investigating intelligence or consciousness;
diseases due to increased kapha; excessive salivation; loss
of taste; nausea and palpitations; impairment of agni.",vātakṣayaḥ,र्ातक्षयः
3,22,22,aab-6,arditah,arditaḥ,अर्दितः,,,,ITA-5.2.1.33,Facial paralysis,"A disorder characterized by localized paralysis of one half of
the face with or without involvement of the body.",arditaḥ,अरदवातः
4,33,33,aab-17,udavartah,udāvartaḥ,उदावर्तः,,,,ITA-5.35.1,"Disorders of reversed
or altered visceral
movement","A disorder characterized by some or all the following signs
and symptoms: retention of faeces; retention of flatus or vata;
obstruction to passage of urine/retention; pain in bladder;
precordial pain/cardiac pain; pain in abdomen/lumbar-
hypogastric region; pain in sides of chest/flanks; abdominal
distension; nausea; cutting type of pain in anal region;
pricking pain; indigestion; oedema in urinary bladder region;
constipation; lump/nodule in abdomen; upward movement of
eructations or vata; painful or hurt anus; painful ejaculation;
delayed ejaculation; body becoming harsh/rough; becoming
dry; becoming cold; fever; dysuria; dysentery; heart diseases;
disorders of lower gastrointestinal tract; vomiting; blindness;
deafness/hearing impairment; burning sensation in head;
bloating of abdomen; hypertrophy of prostate gland; mental
disorders/diseases of manas; thirst; bleeding disorders; loss
of taste; palpable glandular enlargement in abdomen/
abdominal lump; cough; breathlessness/difficulty in breathing;
cold catarrh; facial paralysis; pain in sides of chest/flanks;
dreadful diseases of vāta.",udāvartaḥ,उदार्तवाः
5,79,80,aab-63,badhiryam,bādhiryam,बाधिर्यम्,,,,ITA-5.64.4,Deafness,A disorder characterized by deafness/hearing impairment.,bādhiryam,बावधयवाम्
6,85,86,aab-69,mukatvam,mūkatvam,मूकत्वम्,,,,ITA-5.2.1.49,Dumbness,A disorder characterized by dumbness/aphasia.,mūkatvam,मू्कतर्म्
7,106,107,aab-90,vipadika,vipādikā,विपादिका,,,,ITA-5.59.12,"Cracks in palms
and soles","A skin disease characterized by cracks in the skin of hands
and feet; severe pain; less itching; redness/congestion;
associated with eruptions.",vipādikā,वर्पाकद्का
8,113,114,sn03(aab-97),sukrakshayah,śukrakṣayaḥ,शुक्रक्षयः,,"it is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. this may be explained by: (a) vitiation of all three dosha affecting male reproductive system.",,ITA-5.3.25,Diminution of semen,"A disorder characterized by some or all the following signs
and symptoms: weakness or loss of physical strength;
dryness of mouth; pallor/pale colour of body parts;
exhaustion/tiredness of body and mind; inability to perform
sexual act/impotence; inability to ejaculate semen/
suppression of semen; penile pain; scrotal pain/severe scrotal
pain; inability to perform sexual act; delayed ejaculation;
ejaculation of semen along with blood; black-outs; pricking
type of scrotal pain; smoky sensation in penis.",śukrakṣayaḥ,शुरिक्षयः
9,130,132,aac-2(sk30),apatantrakah,apatantrakaḥ,अपतन्त्रकः,,,,ITA-5.2.1.27,Convulsive fit,"A disorder characterized by some or all the following signs
and symptoms: the body bending like a bow, convulsive
movements of body; confusion/delirium; difficulty in expiration/
laborious breathing; fixed/staring eyes; shutting eyes; cooing
like a pigeon; frequent fainting/unconsciousness; pain in
temporal region of head/temples; pain in head/headache;
pain in precordial region/angina pectoris; loss of movement;
sunken eyes/downward gaze.",apatantrakaḥ,अपतनरि्कः
