term_id,english_term,description,transliteration,native_term
ISMT-1.1.1,"five primordial
elements","Earth, water, fire, air, and space are the primordial elements
in the formation of every single material (living and non-
living) in the world; the entire universe, including the
creatures in it, is constituted, and influenced by these
five elements","Pūtam/ pañcapūtam /
aimpūtam / añcupūtam","பூதம்/ பஞ்சபூதம் /
ஐம்பூதம் /
அஞசுபூதம்"
ISMT-1.1.2,ether,"The primordial element, whitish in colour, having qualities
like subtleness, clarity, appeasing nature and occupying
empty space and governing the activities of desire,
vengeance, lust, etc.","Ākāya pūtam / ākāyam /
vicumpu","ஆகாய பூதம் /
ஆகாயம் / விசும்பு"
ISMT-1.1.3,air,"A primordial black-coloured element formed from ether
element, with qualities like dryness, weightlessness and
roughness, governing motor activities, inhalation and
exhalation","Mārutam / vāyu / kāṟṟu /
vaḷi / kāl","மாருதம் / வாயு /
காற்று / வளி / கால்"
ISMT-1.1.4,fire,"A primordial red-coloured element formed from air element,
with qualities like heat, sharpness, clarity, subtleness,
burning, glowing, colouring, etc.; governs activities such as
egoism, laziness, sexual intercourse, fear and sleep",Vaṉṉicam / tēyu pūtam / tī,"வன்ி்சம் / ததயு
பூதம் / தீ"
ISMT-1.1.5,water,"A primordial colourless element formed from fire element ,
with qualities such as coldness, greasiness, lightning,
soddening, spreading with ease, wetting and oozing,
collecting scattered things and enriching the mind","Appu / calam / appu
pūtam/ nīr","அப்பு / ்சலம் / அப்பு
பூதம்/ நீர்"
ISMT-1.1.6,earth,"A primordial golden-coloured element formed from
water element, with qualities such as heaviness,
solidity, conglomeration, growth and development",Pirutivi / pirutivi pūtam,"பிருதிவி /
பிருதிவி பூதம்"
ISMT-1.1.7,five senses,"Five sensory modalities: tactile perception, taste, vision,
smell and auditory perception",Pulaṉ / aimpulaṉ,புலன / ஐம்புலன
ISMT-1.1.8,five sense organs,"Five organs which make the five senses operate (perceive);
ear, structural component of space element, responsible
for hearing; skin, structural component of air element,
responsible for touch sensation; eye, structural component
of fire element, responsible for sense of sight; tongue,
structural component of water element, responsible for
taste; nose, structural component of earth element,
responsible for smell","Poṟi / aimpoṟi/
ñāṉēntiriyam","பபாறி / ஐம்பபாறி /
ஞாத்நதிாியம்"
ISMT-1.1.9,motor functions,"Actions/functions of the five motor organs (mouth, hand, leg,
rectum, and genital organs): speech, movements, excretion
and ejaculation","Kaṇmaviṭayam/
kaṉmēntiriyam","கனமவிடயம் /
கனதமநதிாியம்"
ISMT-1.1.10,"abdominal and pelvic
organ systems","Systems in the abdominal and pelvic regions of the body
which aid in digestion, excretion and reproduction; five
divisions are: 1. site where swallowed foodstuffs stay in
stomach; 2. site where foodstuffs, after digestion, divide into
nutritive essence and waste substances; 3. site where urine
is formed (kidney, ureter and bladder); 4. site where faecal
matter accumulates (rectum); 5. site where semen/ova
formed (testis/ovary)",Ācayam,ஆ்சயம்
ISMT-1.1.11,"cosmic influence
in body","Three regions in the body broadly classified as heat zone
(the region extending from coccygeal region to navel), solar
zone (the region extending from chest to throat region) and
lunar zone (located at the centre of the skull) aids in
controlling the function of the organs/body parts",Maṇṭalam,மணடலம்
ISMT-1.1.12,vaḷi/vātam/ vāyu,"One of the three humours/ mukkuṟṟam / muttōṭam or
principles of functional constitution of the body, condensed
from the elements air and space, vaḷi is responsible for all
movements in the body and controls the functions of the
nervous system, circulatory system, and elimination of
wastes etc.",Vaḷi/ vātam / aṉilam/ vāyu,"வளி/ வாதம் /
அ்ிலம்/ வாயு"
ISMT-1.1.13,"vāyu for respiration
and digestion","Responsible for respiratory functions and controls its organs;
originates from the center of skull, also nourishes the
life force",Uyirkkāl / pirāṇaṉ,"உயிர்்ககால் /
பிராணன"
ISMT-1.1.14,"vāyu for downward
biological movements","Responsible for absorption and assimilation of essence,
excretion of urine and faeces, ejection of semen and
expulsion of contents of the uterus, contracting and relaxing
the sphincters; originates from coccygeal region mūlātāram","Kīḻnōkku kāl/apāṉavāyu /
apāṉaṉ","கீழதநா்ககு கால் /
அபா்வாயு /
அபா்ன"
ISMT-1.1.15,"vāyu for upward
biological movements","Responsible for all upward movements; responsible for
reflexes like cough, sneeze, hiccup, and vomiting; also
responsible for speech, stations the essence of foods at
appropriate place (nutrition), thus helps in the digestion and
assimilation of food; emanates from fire of stomach, resides
in navel, neck, throat and nose",Mēlnōkku kāl/ utāṉaṉ,"தமல்தநா்ககு
கால்/ உதா்ன"
ISMT-1.1.16,vāyu for homeostasis,"Balances the other components of vāyu and responsible for
assimilation; balances the six tastes, water and foodstuffs
during the process of digestion and gets them to their sites
of action; originates from the navel region","Naṭukkāl/ camāṉaṉ /
camāṉavāyu","நடு்ககால் /
்சமா்ன /
்சமா்வாயு"
ISMT-1.1.17,vāyu for circulation,"Disseminates throughout body via 72 000 vessels and
nerves causing voluntary and involuntary functions; takes
the essence of food to all parts of the body; responsible for
touch sensation",Paravukāl/viyāṉaṉ,பரவுகால்/வியா்ன
ISMT-1.1.18,"vāyu for intellectual
functions","Responsible for higher intellectual functions, hearing,
thinking, singing, etc.; causes blinking of the eyes, opening
of eyelids, and goosebumps",Nākaṉ,நாகன
ISMT-1.1.19,"vāyu for ophthalmic
function","Acts on the eyes, responsible for blinking, visual
interpretation, and lacrimation; responsible for the acts of
yawning and closing of mouth",Kūrmaṉ,கூர்மன
ISMT-1.1.20,vāyu for secretion,"Responsible for oral and nasal secretion; causes thinking of
one entity and produces much hunger, cough, sneeze, etc.",Kirukaraṉ,கிருகரன
ISMT-1.1.21,vāyu for fatigue,"Responsible for laziness and tiredness on waking, causes
movement of eyeball, causes one to be engaged in coaxing,
fighting, verbal dispute and bouts of intense anger",Tēvatattaṉ,ததவதததன
ISMT-1.1.22,vāyu for death,"During death, causes generalized swelling of the body and
tinnitus; leaves the body through the head on the third
day of death",Taṉañceyaṉ,த்ஞப்சயன
ISMT-1.1.23,aẕal /pittam,"One of the humours/ mukkuṟṟam or principles of constitution
of the body, condensed from the elements water and earth;
aẕal is responsible for normal metabolism and controls
digestion, movement of limbs, function of eyes to enhance
vision, complexion of skin, sharpness of mind, etc.",Aẕal/pittam,அழல் /பிததம்
ISMT-1.1.24,"aẕal /pittam
for digestion","One of the five types of aẕal, exists in stomach and
intestines; quality of increased fire, dries up water contents
of foodstuffs, digests all ingested food",Ākkaṉal / aṉaṟpittam,"ஆ்கக்ல் /
அ்ற்பிததம்"
ISMT-1.1.25,"aẕal / pittam for
nourishment of
blood","One of the five types of aẕal, exists in stomach, responsible
for nourishment of blood through conversion of chyle",Vaṇṇa eri/ irañcaka pittam,"வணண எாி /
இரஞ்சக பிததம்"
ISMT-1.1.26,"aẕal /pittam for
performing desired
acts","One of the five types of aẕal, exists in heart, performs
desired acts with help of knowledge, intellect and affinity",Āṟṟalaṅki/ cātaka pittam,"ஆற்றலஙகி /
்சாதக பிததம்"
ISMT-1.1.27,"aẕal /pittam for
complexion","One of the five types of aẕal, exists in skin and gives it lustre",Oḷḷoḷi tī / pirācakam,"ஒளபளாளி தீ /
பிரா்சகம்"
ISMT-1.1.28,aẕal pittam for vision,"One of the five types of aẕal, exists in eye and is
responsible for vision",Nōkkaẕal/ ālōcakam,"தநா்ககழல் /
ஆதலா்சகம்"
ISMT-1.1.29,aiyam/kapam,"One of the three humors of body according to the humoral
principles; is watery or frothy in general; a key influencer in
all respiratory diseases",aiyam / kapam,ஐயம் / கபம்
ISMT-1.1.30,strengthening aiyam,"One of the five types of aiyam, exists in thoracic cavity,
including heart; along with its innate potential and essence
of food it strengthens the body",Aḷi aiyam / avalampakam,"அளி ஐயம் /
அவலம்பகம்"
ISMT-1.1.31,"aiyam/ kapam for
digestive functions","One of the five types of aiyam, exists in stomach, breaks
down ingested foodstuffs and promotes digestion",Nīrppi aiyam / kilētakam,"நீர்ப்பி ஐயம் /
கிதலதகம்"
ISMT-1.1.32,"aiyam/ kapam for
taste","One of the five types of aiyam, exists in tongue, helps to
experience taste of food","Cuvaikāṇ
aiyam / pōtakam","சுைவகாண
ஐயம் / தபாதகம்"
ISMT-1.1.33,"aiyam/ kapam for
strengthening
sense organs","One of the five types of aiyam, exists in head, strengthens
sense organs, keeps the eyes cool",Niṟaivaiyam / taṟpakam,"நிைறைவயம் /
தற்பகம்"
ISMT-1.1.34,"aiyam/ kapam for
lubrication","One of the five types of aiyam, exists in joints and
lubricates them",Oṉṟiyaiyam / cantikam,"ஒனறிையயம் /
்சநதிகம்"
ISMT-1.1.35,"single humoral
somatotype","Person with either vaḷi, aẕal or aiyam type of body
constitution",Tūya uṭaliṉar,தூய உடலி்ர்
ISMT-1.1.36,"mixed humoral
somatotype","Person having body constitution with a combination of vaḷi
aḻal, vaḷi aiyam, aẕal vaḷi, aẕal aiyam, aiyam vaḷi or
aiyam aẕal",Kalappu uṭaliṉar,கலப்பு உடலி்ர்
ISMT-1.1.37,"three humours
physique","The colour and complexion of persons with vaḷi, aẕal,
aiyam physique",Mukkuṟṟakaḷiṉ meyniṟam,"மு்ககுற்றஙகளின
பமயநிறம்"
ISMT-1.1.38,six tastes,"The sensation of tastes perceived in the mouth and throat
on contact with food; six types of taste are found in food,
which are responsible for the formation of three humors, viz.
vaḷi, aẕal, aiyam; the tastes are sweet, sour, salt, bitter,
pungent and astringent; they are formed by the assortment
of the five elements in specific two-by-two combinations",Aṟucuvai,அறுசுைவ
ISMT-1.1.39,pungent/ hot taste,"Taste formed by the union of air and fire elements, produces
burning sensation at the tip of the tongue and jaws,
increases secretions of eyes, nose and tongue; increases
vaḷi/vātam and aẕal/pittam; balances aiyam/kapam, i.e.,
taste of black pepper",Kārppu,கார்ப்பு
ISMT-1.1.40,bitter,"Taste formed by union of air and space elements; cleanses
the mouth and diminishes appreciation of taste sensation;
increases vaḷi/vātam and balances aiyam/ kapam and aẕal /
pittam, i.e., taste of bitter gourd",Kaippu / kacappu,ைகப்பு / க்சப்பு
ISMT-1.1.41,astringent,"Taste formed by union of earth and air elements, numbs the
tongue, shrinks the small pores of the tongue, increases its
stickiness and thereby inhibits taste sensation; increases
vaḷi/vātam and balances aiyam/kapam and aẕal/pittam, i.e.,
taste of myrobalans",Tuvarppu,துவர்ப்பு
ISMT-1.1.42,salt,"Taste formed by union of fire and water elements, increases
secretion of saliva and irritates the throat and lower jaw;
increases aiyam/kapam and aẕal/pittam and balances vaḷi/
vātam, i.e., taste of common salt",Uvarppu/uppu,உவர்ப்பு / உப்பு
ISMT-1.1.43,sour,"Taste formed by union of earth and fire elements, stimulates
salivary secretion, produces goosebumps and shrinking of
the eyebrows and cleanses the mouth; increases aiyam and
aẕal and balances vaḷi, i.e., taste of lemon",Puḷippu,புளிப்பு
ISMT-1.1.44,sweet,"Taste formed by union of earth and water elements, gives
pleasure to the mind, enriches sense organs and nourishes
the seven physical constituents; increases aiyam and
balances aẕal and vaḷi, i.e., taste of honey",Iṉippu,இ்ிப்பு
ISMT-1.2.1,daily regimen,Performance of daily routine in a structured way,Tiṉa oḻukkam,தி் ஒழு்ககம்
ISMT-1.2.2,intrinsic cause,Intrinsic causes of disease.,Akakkāraṇam,அக்ககாரணம்
