term_id,english_term,description,transliteration,native_term
IUMT-1.0.0,general terms,"Terms that are not specific to Unani medicine,
used in Unani medicine literature",‘Umūmī Iṣṭilāḥāt,تاحلاطصا یمومع
IUMT-1.0.1,astronomy,"Science which deals with the movement of
celestial bodies",‘Ilm-i-Hay’at,تئیہ مِلع
IUMT-1.0.2,intellect,"Faculty perceiving self-evident things and
meanings,independent of matter in its existence
and function, through which mind perceives
self-evident things and meanings in their
complete sense",‘Aql,لقع
IUMT-1.0.3,"rational soul/
human soul","Soul which coordinates rational functions of the
human; this term does not cover Nafs Nāṭiqa
mentioned under factors of existence","Nafs Nāṭiqa /
Nafs al-Insān",ناسنلاا سفن /ہقطان سفن
IUMT-1.0.4,movement,"This term does not cover Ḥarakat mentioned
under factors of existence",Ḥarakat,تكرح
IUMT-1.0.5,positional movement,"A type of movement accompanied by change in
place of body or object, partially or totally",Ḥarakat Ayniyya,ہینیا تکرح
IUMT-1.0.6,axial movement,"A type of movement accompanied by a change
in position of body or object, but without
changing its place",Ḥarakat Waḍa‘iyya,ہیعضو تکرح
IUMT-1.0.7,quantitative movement,"A type of movement accompanied by a change
in quantity of body or object",Ḥarakat Kammiyya,ہیمّ ک تکرح
IUMT-1.0.8,qualitative movement,"A type of movement accompanied by qualitative
change in body or object",Ḥarakat Kayfiyya,ہیفیک تکرح
IUMT-1.0.9,three kingdoms of nature,"Kingdoms of nature found as plants, animals
and minerals",Mawālīd Thalātha,ہثلاث دیلاوم
IUMT-1.0.10,equator,"An imaginary line which passes from east to
west and divides globe into equal north and
south hemispheres",Khaṭṭ-i-Istiwā’,ءا وتسا طخ
IUMT-1.0.11,celestial circle,"An imaginary celestial circle which lies on same
plane as equator of the earth; the day and night
become equal when sun comes across
this plane",Mu‘addil al-Nahār,راھنلا لدعم
IUMT-1.0.12,"imaginary illustration of
celestial orbit","An imaginary illustration of celestial orbit divided
into twelve divisions",Minṭaqa al-Burūj,جو�بلاۃقطنم
IUMT-1.0.13,"school of thought
supporting experience
as the basis of
knowledge/empiricist","One of three schools of thought having
difference of opinion on the method of obtaining
useful things for health, stating that such things
are acquired through experience",Aṣḥāb al-Tajriba,ۃبرجتلا باحصا
IUMT-1.0.14,"school of thought
supporting assumption
and syllogism as basis
of knowledge","One of three schools of thought having
difference of opinion on method of obtaining
useful things for health, stating that experience
alone is not sufficient and must be combined
with syllogism to obtain such things",Aṣḥāb al-Qiyās,سایقلا باحصا
IUMT-1.0.15,"school of thought not
supporting views of
Aṣḥāb al-Tajriba and
Aṣḥāb al-Qiyās","One of three schools of thought having
difference of opinion on method of obtaining
useful things for health, summarizing science of
medicine through manipulations by removing
topics with which Aṣḥāb al-Tajriba and Aṣḥāb
al-Qiyās preoccupied themselves and were
irrelevant in its opinion",Aṣḥāb al-Ḥiyal,لیحلا باحصا
IUMT-1.0.16,Unani medicine,"Science by which one learns various states of
human body, in health and when not in health,
and means by which health is likely to be lost,
and when lost, is likely to be restored (science
of medicine/ Unani System of Medicine/
Unani Medicine)",Ṭibb / Yūnānī Ṭibb,بط ینانوی / بط
IUMT-1.0.17,"theoretical aspect
of medicine","Aspect of medicine concerned with theoretical
topics such as temperaments, humours,
faculties, various diseases, symptoms
and causes",Ṭibb Naẓarī,یرظن بط
IUMT-1.0.18,"practical aspect
of medicine","Aspect of medicine concerned with knowledge
of medical management and practice, e.g.,
knowledge of methods of preserving health
under various conditions and treating every
kind of disease",Ṭibb ‘Amalī,یلمع بط
IUMT-1.0.19,"subject matter
of medicine","Subject of medicine, which is the human body in
health and disease and as a whole deals with
primary components/elements, humours,
temperaments, simple and compound organs,
pneuma, faculties and their functions; states of
body with regard to health, disease and
intermediate state and causes thereof such as
air, food and drinks, water, habitation and
residence, physical and mental movement and
repose, sleep and wakefulness, elimination and
retention, occupation, age, gender and extrinsic
factors which act on body; preservation of health
and treatment of all the various diseases along
with dietary habits, purification and preservation
of air, regulation of rest and activity, use of drugs
and operative procedures",Mawḍū‘-i-Ṭibb,بط عوضوم
IUMT-1.0.20,"causes / means of
health and disease",,Asbāb-i-Ṣiḥḥat-o-Maraḍ,ضرم و تحص بابسا
IUMT-1.0.21,"material causes/
physical causes","One of four groups of causes of health and
disease whose immediate subject is organs and
their pneuma; the more remote subject is
humours; and the most remote subject is the
primary components / elements",Asbāb Māddiyya,ہیدّ ام بابسا
IUMT-1.0.22,"acting causes/
efficient causes","One of four groups of causes of health and
disease which either preserve or produce
changes in the human body and are: (a) various
types of airs and associated factors; (b) food,
water and other drinks, etc.; (c) evacuation and
retention; (d) habitat and residence, etc.;
(e) physiological and psychological rest and
activity; (f) sleep and wakefulness; (g) various
phases of life and variations therein; (h) sex
variations; (i) occupations; (j) habits; and
(k) favourable and unfavourable agents
affecting the human body by contact",Asbāb Fā‘iliyya,ہیلعاف بابسا
IUMT-1.0.23,"formal causes / causes
related to form","One of four groups of causes of health and
disease which include temperaments, facul-
ties emerging from these temperaments,
and structures",Asbāb Ṣūriyya,ہیروص بابسا
IUMT-1.0.24,final causes,"One of four groups of causes of health and
diseases which include functions",Asbāb Tamāmiyya,ہیمامت بابسا
IUMT-2.0.0,logic and philosophy,,Manṭiq-o-Falsafa,ہفسلف و قطنم
IUMT-2.0.1,logic,"Reasonable thinking; tool to discover the
unknown from the known, which saves the
human being from errors in thinking",Al-Manṭiq,قطنملا
IUMT-2.0.2,"process of signifying
by signs","The process of knowing one reality on the basis
of reflection or expression of another factor or
knowledge of another reality, leading to
conclusive facts, e.g., yellowness of the face of
a person denotes fear, where one reality is face
and the other reality is the yellow expression
leading to fact, which is fear",Al-Dalāla,ۃللادلا
IUMT-2.0.3,literal expression,"Use of a statement in the complete meaning of
the subject of declaration, e.g., when a person
says that he saw the sun, he means to say that
he saw the complete disc of the sun",Al-Ḥaqīqa,ۃقیقحلا
IUMT-2.0.4,figurative expression,"Use of a statement in part of the meaning of the
subject of the declaration, e.g., when one says
that he saw the sun intending that he saw part
of the disc of the sun at sunset time or intending
that he saw the sunlight or usage of the
expression in other than the meaning of its
subject, e.g., when one says that he saw the
lion, intending to mean that he saw a brave man",Al-Majāz,زاجملا
IUMT-2.0.5,universal concept,"A statement about an object or phenomenon
which has many members and is applied to all
of them, e.g., human, which has many members
and the statement human includes all of them",Al-Kullī,یّلکلا
IUMT-2.0.6,species,"Group of members similar in essence; a type of
universal concept, which covers all of its
members who are similar in their essence, e.g.,
human, whose members are Zaid, Mohan,
Jacob, etc.; they may differ in height, colour, etc.
but are one in reality",Al-Naw‘,عونلا
